iter	Accuracy	MultiClass
0	0.755156354	1.060566374
1	0.7777777778	1.025410097
2	0.7691284098	0.9935037039
3	0.7817697937	0.9597771018
4	0.7817697937	0.9312579067
5	0.7804391218	0.9059049062
6	0.7784431138	0.8827740173
7	0.7804391218	0.8617114895
8	0.7877578177	0.8409384019
9	0.7884231537	0.8218240144
10	0.7917498337	0.8034359696
11	0.7904191617	0.7862721187
12	0.7944111776	0.769324279
13	0.7964071856	0.7552596559
14	0.7957418496	0.7421316034
15	0.7984031936	0.7280529355
16	0.7970725216	0.7160478458
17	0.7997338656	0.7046847955
18	0.7964071856	0.6933381484
19	0.7990685296	0.6822533401
20	0.8017298736	0.6723075957
21	0.8023952096	0.6628497358
22	0.8030605456	0.6533452143
23	0.8043912176	0.6441689484
24	0.8050565536	0.6353293708
25	0.8097139055	0.6262582975
26	0.8103792415	0.6178043933
27	0.8117099135	0.6091375196
28	0.8090485695	0.6032098197
29	0.8117099135	0.5964581446
30	0.8110445775	0.5907620855
31	0.8103792415	0.5848749815
32	0.8176979375	0.5769932752
33	0.8183632735	0.570656436
34	0.8223552894	0.5643341741
35	0.8270126414	0.5582292911
36	0.8270126414	0.5524094842
37	0.8263473054	0.5474545081
38	0.8283433134	0.5420265195
39	0.8276779774	0.5377336458
40	0.8323353293	0.5324464816
41	0.8303393214	0.5273872387
42	0.8363273453	0.5226360677
43	0.8369926813	0.5185469469
44	0.8376580173	0.5150575916
45	0.8369926813	0.5111797632
46	0.8369926813	0.507457481
47	0.8396540253	0.5034269466
48	0.8396540253	0.4992836444
49	0.8443113772	0.495425011
50	0.8449767132	0.492082416
51	0.8443113772	0.4883826412
52	0.8443113772	0.4846101993
53	0.8476380572	0.4811310137
54	0.8469727212	0.4775567484
55	0.8489687292	0.4737529234
56	0.8516300732	0.4706081988
57	0.8516300732	0.4680623122
58	0.8509647372	0.4651541412
59	0.8516300732	0.4623340441
60	0.8536260812	0.459693272
61	0.8549567532	0.4568613373
62	0.8569527611	0.4536238856
63	0.8576180971	0.4516978706
64	0.8582834331	0.4492288625
65	0.8602794411	0.4462561944
66	0.8622754491	0.443500444
67	0.8636061211	0.4417340263
68	0.8662674651	0.4392673143
69	0.8656021291	0.4375054303
70	0.8662674651	0.4351796161
71	0.8662674651	0.4323816466
72	0.8656021291	0.4310526856
73	0.8669328011	0.4287144539
74	0.8675981371	0.426445676
75	0.8682634731	0.4246419761
76	0.8675981371	0.4227638871
77	0.8675981371	0.4208965304
78	0.8675981371	0.419303458
79	0.8682634731	0.4170967315
80	0.8682634731	0.4158325133
81	0.870924817	0.4133619995
82	0.872255489	0.4110116914
83	0.871590153	0.4090855092
84	0.876247505	0.4068304264
85	0.874916833	0.4050490278
86	0.875582169	0.4034978852
87	0.874916833	0.4019928121
88	0.874916833	0.4006754687
89	0.879574185	0.3981713543
90	0.880239521	0.396941777
91	0.880239521	0.3951286912
92	0.880904857	0.3939201619
93	0.8822355289	0.3926920752
94	0.8835662009	0.3911768806
95	0.8842315369	0.3899955835
96	0.8815701929	0.3881473565
97	0.8829008649	0.3868923082
98	0.880904857	0.3857496713
99	0.8822355289	0.3842393544
100	0.8835662009	0.3829554706
101	0.8835662009	0.3815921119
102	0.8848968729	0.3794647242
103	0.8848968729	0.3780266365
104	0.8868928809	0.3770829803
105	0.8855622089	0.3759658739
106	0.8868928809	0.3748569263
107	0.8882235529	0.3732335145
108	0.8888888889	0.3718617506
109	0.8902195609	0.3703576216
110	0.8888888889	0.3688462602
111	0.8888888889	0.367715916
112	0.8888888889	0.3661527914
113	0.8888888889	0.3651383553
114	0.8888888889	0.3640925351
115	0.8908848969	0.3626476113
116	0.8922155689	0.3613519307
117	0.8928809049	0.3600806713
118	0.8928809049	0.3589359614
119	0.8928809049	0.3572897428
120	0.8948769128	0.3553722848
121	0.8942115768	0.354346667
122	0.8948769128	0.3530151374
123	0.8948769128	0.3519578897
124	0.8955422488	0.351056136
125	0.8955422488	0.3503823771
126	0.8955422488	0.3490652396
127	0.8962075848	0.3471681954
128	0.8962075848	0.3466783312
129	0.8962075848	0.3455007041
130	0.8962075848	0.344857965
131	0.8962075848	0.343154197
132	0.8975382568	0.3419027106
133	0.8975382568	0.3412083156
134	0.8982035928	0.3402539421
135	0.8988689288	0.3389106701
136	0.8988689288	0.3382320242
137	0.8995342648	0.3375656139
138	0.8988689288	0.3361999894
139	0.8995342648	0.3355336281
140	0.9001996008	0.3341192245
141	0.9008649368	0.3331918461
142	0.9001996008	0.3322877365
143	0.9015302728	0.3308806964
144	0.9021956088	0.3300816831
145	0.9021956088	0.3285804542
146	0.9035262808	0.3270831834
147	0.9035262808	0.3264212128
148	0.9035262808	0.3251668257
149	0.9021956088	0.323760656
150	0.9041916168	0.3227839551
151	0.9061876248	0.3221236411
152	0.9055222888	0.3208959541
153	0.9061876248	0.3193366893
154	0.9081836327	0.3183329998
155	0.9081836327	0.3174125782
156	0.9068529607	0.3160265788
157	0.9068529607	0.3147663082
158	0.9075182967	0.3131223203
159	0.9081836327	0.3122757382
160	0.9068529607	0.311601127
161	0.9075182967	0.3104959811
162	0.9075182967	0.3092802654
163	0.9088489687	0.3084726498
164	0.9095143047	0.3073202771
165	0.9088489687	0.3064790081
166	0.9095143047	0.3057035498
167	0.9088489687	0.30453925
168	0.9095143047	0.3038663643
169	0.9095143047	0.3027052707
170	0.9095143047	0.3021716464
171	0.9095143047	0.3011063143
172	0.9108449767	0.3005255416
173	0.9128409847	0.2996578404
174	0.9141716567	0.2984022901
175	0.9141716567	0.2975858541
176	0.9135063207	0.2969519813
177	0.9141716567	0.2952356562
178	0.9135063207	0.2943208975
179	0.9141716567	0.2931417368
180	0.9141716567	0.2924649675
181	0.9135063207	0.2915989143
182	0.9135063207	0.2904922539
183	0.9155023287	0.2892134292
184	0.9161676647	0.2884915278
185	0.9155023287	0.287659127
186	0.9141716567	0.2869891235
187	0.9168330007	0.2863226208
188	0.9174983367	0.2849959932
189	0.9161676647	0.2844236836
190	0.9161676647	0.2839616568
191	0.9168330007	0.2833064008
192	0.9174983367	0.2825266149
193	0.9181636727	0.2808825401
194	0.9168330007	0.2800985577
195	0.9194943446	0.279414137
196	0.9188290086	0.2785744634
197	0.9181636727	0.2779947733
198	0.9181636727	0.2770070516
199	0.9181636727	0.2763535041
200	0.9194943446	0.2756304126
201	0.9208250166	0.2747507186
202	0.9214903526	0.2741782715
203	0.9208250166	0.2737557867
204	0.9214903526	0.2734425034
205	0.9234863606	0.2724186221
206	0.9234863606	0.2715894974
207	0.9248170326	0.2703468096
208	0.9241516966	0.2695577529
209	0.9248170326	0.2685611393
210	0.9261477046	0.2673758019
211	0.9281437126	0.2667293725
212	0.9281437126	0.2659213059
213	0.9281437126	0.2654556466
214	0.9281437126	0.2646057546
215	0.9294743846	0.2633984779
216	0.9301397206	0.2628036563
217	0.9294743846	0.2622122455
218	0.9288090486	0.2617372861
219	0.9301397206	0.2608232009
220	0.9314703925	0.2602818339
221	0.9314703925	0.2596696889
222	0.9321357285	0.2589616471
223	0.9328010645	0.258102253
224	0.9328010645	0.2569126062
225	0.9334664005	0.2563241377
226	0.9328010645	0.2553937674
227	0.9341317365	0.2547965667
228	0.9341317365	0.2540576131
229	0.9334664005	0.2533274553
230	0.9341317365	0.252789088
231	0.9341317365	0.2522193928
232	0.9341317365	0.2514718192
233	0.9347970725	0.2510363673
234	0.9347970725	0.2503254362
235	0.9354624085	0.2494998426
236	0.9354624085	0.2489907059
237	0.9367930805	0.2485413247
238	0.9367930805	0.2481009978
239	0.9367930805	0.2476390899
240	0.9361277445	0.247039636
241	0.9367930805	0.246359765
242	0.9367930805	0.2455305627
243	0.9367930805	0.2449349059
244	0.9367930805	0.2445147285
245	0.9367930805	0.2439549626
246	0.9374584165	0.2433655943
247	0.9381237525	0.2427961239
248	0.9381237525	0.2422345702
249	0.9381237525	0.2419088589
250	0.9381237525	0.2416365493
251	0.9381237525	0.2410885671
252	0.9381237525	0.2404114589
