iter	Passed	Remaining
0	290	289827
1	444	221568
2	572	190144
3	740	184493
4	860	171257
5	995	164911
6	1121	159161
7	1244	154355
8	1386	152641
9	1487	147250
10	1609	144671
11	1727	142200
12	1822	138352
13	1930	135928
14	2049	134586
15	2140	131625
16	2235	129246
17	2330	127141
18	2432	125612
19	2525	123734
20	2613	121824
21	2727	121256
22	2832	120300
23	2931	119213
24	3026	118027
25	3117	116801
26	3210	115682
27	3307	114823
28	3440	115198
29	3530	114155
30	3630	113489
31	3827	115787
32	3996	117112
33	4092	116271
34	4188	115491
35	4285	114746
36	4380	114001
37	4475	113297
38	4568	112572
39	4709	113033
40	4839	113189
41	4943	112751
42	5040	112186
43	5149	111886
44	5254	111507
45	5356	111099
46	5454	110590
47	5558	110234
48	5655	109761
49	5746	109188
50	5851	108878
51	5959	108641
52	6070	108463
53	6171	108113
54	6272	107776
55	6387	107672
56	6553	108419
57	6755	109720
58	6909	110203
59	7026	110078
60	7127	109712
61	7230	109388
62	7328	108999
63	7425	108599
64	7523	108220
65	7624	107891
66	7727	107613
67	7821	107195
68	7909	106717
69	8009	106414
70	8109	106106
71	8197	105650
72	8284	105204
73	8382	104898
74	8495	104782
75	8585	104376
76	8674	103975
77	8781	103803
78	8878	103505
79	8967	103131
80	9060	102800
81	9171	102674
82	9271	102428
83	9361	102088
84	9449	101720
85	9564	101647
86	9657	101349
87	9745	100997
88	9847	100798
89	9944	100545
90	10040	100298
91	10136	100044
92	10231	99788
93	10349	99752
94	10518	100205
95	10620	100014
96	10736	99950
97	10893	100265
98	11062	100680
99	11208	100872
100	11409	101551
101	11543	101629
102	11707	101953
103	11821	101849
104	11928	101673
105	12024	101413
106	12123	101178
107	12220	100935
108	12310	100631
109	12424	100522
110	12516	100244
111	12603	99928
112	12706	99737
113	12811	99569
114	12901	99287
115	13001	99081
116	13106	98914
117	13206	98715
118	13307	98521
119	13405	98306
120	13495	98035
121	13597	97855
122	13696	97658
123	13798	97483
124	13901	97308
125	13993	97069
126	14087	96836
127	14192	96686
128	14303	96579
129	14412	96453
130	14526	96362
131	14628	96194
132	14735	96056
133	14840	95907
134	14937	95709
135	15095	95903
136	15224	95905
137	15332	95772
138	15436	95620
139	15539	95459
140	15649	95340
141	15766	95264
142	15878	95162
143	15987	95038
144	16096	94915
145	16208	94810
146	16326	94740
147	16429	94582
148	16531	94420
149	16624	94206
150	16724	94033
151	16823	93858
152	16915	93645
153	17014	93470
154	17115	93304
155	17206	93091
156	17300	92892
157	17390	92677
158	17489	92508
159	17588	92340
160	17685	92161
161	17780	91978
162	17877	91799
163	17980	91654
164	18075	91472
165	18177	91326
166	18278	91173
167	18391	91079
168	18499	90963
169	18590	90764
170	18687	90597
171	18776	90390
172	18863	90176
173	18952	89968
174	19045	89787
175	19143	89626
176	19238	89452
177	19333	89281
178	19432	89128
179	19530	88974
180	19632	88833
181	19735	88702
182	19844	88593
183	19941	88435
184	20029	88237
185	20117	88039
186	20215	87888
187	20317	87752
188	20412	87588
189	20504	87415
190	20604	87272
191	20698	87107
192	20799	86970
193	20907	86864
194	21013	86746
195	21115	86616
196	21214	86475
197	21317	86345
198	21420	86221
199	21513	86052
200	21603	85878
201	21696	85712
202	21809	85625
203	21936	85594
204	22034	85452
205	22133	85311
206	22233	85173
207	22335	85047
208	22433	84904
209	22528	84750
210	22620	84584
211	22712	84423
212	22814	84293
213	22969	84366
214	23081	84272
215	23181	84139
216	23281	84005
217	23384	83885
218	23483	83746
219	23578	83595
220	23677	83460
221	23787	83362
222	23885	83224
223	23980	83073
224	24082	82951
225	24182	82820
226	24294	82729
227	24386	82573
228	24479	82418
229	24580	82292
230	24684	82173
231	24776	82020
232	24879	81899
233	24981	81775
234	25086	81663
235	25189	81545
236	25291	81423
237	25398	81318
238	25491	81168
239	25592	81042
240	25717	80993
241	25848	80962
242	25959	80869
243	26054	80725
244	26145	80571
245	26247	80448
246	26344	80313
247	26442	80181
248	26546	80066
249	26653	79959
250	26758	79847
251	26863	79736
252	27032	79815
253	27192	79864
254	27332	79854
255	27483	79873
256	27627	79873
257	27757	79829
258	27887	79787
259	28015	79737
260	28130	79649
261	28240	79546
262	28350	79445
263	28453	79324
264	28579	79267
265	28690	79168
266	28841	79178
267	28954	79085
268	29059	78969
269	29155	78828
270	29244	78669
271	29336	78518
272	29435	78386
273	29535	78258
274	29633	78125
275	29735	78003
276	29829	77858
277	29929	77731
278	30031	77609
279	30141	77505
280	30257	77421
281	30367	77319
282	30466	77188
283	30561	77049
284	30655	76907
285	30750	76769
286	30843	76624
287	30937	76483
288	31034	76351
289	31125	76204
290	31226	76080
291	31319	75939
292	31418	75812
293	31518	75688
294	31620	75568
295	31716	75434
296	31809	75292
297	31912	75177
298	32002	75030
299	32096	74892
300	32188	74751
301	32286	74621
302	32386	74499
303	32480	74363
304	32573	74224
305	32666	74085
306	32759	73949
307	32856	73821
308	32952	73689
309	33046	73556
310	33149	73439
311	33245	73311
312	33337	73171
313	33437	73051
314	33532	72919
315	33624	72782
316	33719	72651
317	33818	72529
318	33920	72413
319	34019	72291
320	34115	72163
321	34223	72059
322	34327	71949
323	34425	71826
324	34531	71720
325	34636	71611
326	34738	71494
327	34836	71372
328	34933	71246
329	35031	71125
330	35131	71005
331	35254	70933
332	35375	70858
333	35484	70757
334	35585	70640
335	35690	70531
336	35803	70439
337	35915	70342
338	36023	70241
339	36129	70134
340	36246	70049
341	36353	69942
342	36460	69838
343	36572	69743
344	36686	69651
345	36782	69525
346	36878	69399
347	36969	69264
348	37057	69123
349	37148	68989
350	37236	68851
351	37330	68721
352	37424	68593
353	37513	68457
354	37619	68351
355	37727	68248
356	37832	68140
357	37968	68089
358	38091	68012
359	38238	67980
360	38344	67873
361	38450	67765
362	38551	67651
363	38657	67544
364	38765	67440
365	38871	67334
366	38986	67243
367	39099	67148
368	39190	67017
369	39282	66886
370	39372	66753
371	39471	66634
372	39573	66521
373	39682	66421
374	39795	66326
375	39903	66222
376	40013	66122
377	40116	66012
378	40219	65900
379	40338	65814
380	40452	65721
381	40559	65617
382	40650	65486
383	40746	65364
384	40850	65255
385	40952	65142
386	41053	65027
387	41171	64940
388	41272	64826
389	41364	64698
390	41455	64569
391	41564	64466
392	41701	64409
393	41818	64319
394	41936	64231
395	42037	64118
396	42150	64021
397	42285	63959
398	42415	63888
399	42532	63799
400	42665	63732
401	42784	63644
402	42899	63551
403	43095	63575
404	43258	63551
405	43412	63515
406	43557	63463
407	43667	63360
408	43774	63253
409	43874	63136
410	43990	63042
411	44109	62952
412	44223	62854
413	44371	62805
414	44495	62721
415	44631	62655
416	44785	62614
417	44939	62570
418	46050	63855
419	46282	63913
420	46392	63803
421	46519	63716
422	46660	63647
423	46825	63612
424	47053	63660
425	47415	63888
426	47682	63986
427	47882	63992
428	48131	64063
429	48401	64159
430	48615	64181
431	48876	64263
432	49229	64464
433	49473	64520
434	49677	64523
435	49869	64509
436	50077	64516
437	50344	64597
438	51348	65618
439	51767	65886
440	52083	66020
441	52240	65951
442	52372	65849
443	52504	65748
444	52644	65657
445	52780	65561
446	52893	65437
447	53008	65314
448	53130	65200
449	53250	65084
450	53376	64974
451	53525	64894
452	53645	64777
453	53766	64661
454	53902	64564
455	54014	64437
456	54131	64317
457	54248	64198
458	54361	64073
459	54484	63960
460	54605	63844
461	54717	63718
462	54835	63599
463	54957	63484
464	55380	63717
465	55542	63647
466	55717	63591
467	55841	63477
468	55962	63360
469	56091	63251
470	56208	63130
471	56312	62993
472	56423	62865
473	56525	62726
474	56627	62588
475	56732	62453
476	56856	62339
477	56991	62237
478	57103	62110
479	57215	61983
480	57339	61869
481	57463	61755
482	57581	61634
483	57714	61530
484	57841	61419
485	57961	61300
486	58083	61184
487	58204	61066
488	58326	60950
489	58448	60834
490	58555	60702
491	58649	60557
492	58741	60409
493	58834	60264
494	58929	60119
495	59019	59970
496	59110	59823
497	59207	59682
498	59300	59538
499	59393	59393
500	59485	59247
501	59573	59098
502	59664	58952
503	59755	58806
504	59850	58665
505	59944	58522
506	60035	58377
507	60128	58234
508	60217	58088
509	60310	57945
510	60404	57804
511	60502	57666
512	60596	57525
513	60687	57381
514	60780	57239
515	60869	57094
516	60963	56954
517	61056	56813
518	61147	56670
519	61239	56528
520	61330	56386
521	61421	56244
522	61513	56103
523	61606	55962
524	61696	55821
525	61787	55679
526	61876	55536
527	61969	55396
528	62061	55256
529	62152	55116
530	62243	54976
531	62333	54834
532	62424	54694
533	62518	54557
534	62611	54419
535	62703	54280
536	62795	54142
537	62888	54004
538	62982	53868
539	63074	53730
540	63164	53590
541	63258	53454
542	63354	53320
543	63456	53191
544	63551	53057
545	63650	52925
546	63743	52789
547	63837	52654
548	63925	52514
549	64015	52376
550	64104	52237
551	64196	52101
552	64287	51964
553	64378	51828
554	64467	51689
555	64557	51553
556	64649	51418
557	64738	51280
558	64828	51144
559	64919	51008
560	65011	50873
561	65106	50740
562	65198	50606
563	65289	50471
564	65379	50336
565	65470	50201
566	65558	50064
567	65646	49928
568	65740	49796
569	65829	49660
570	65918	49525
571	66012	49394
572	66102	49259
573	66195	49127
574	66286	48994
575	66377	48861
576	66469	48728
577	66558	48594
578	66650	48462
579	66742	48330
580	66832	48197
581	66922	48064
582	67013	47932
583	67105	47800
584	67195	47668
585	67285	47536
586	67379	47406
587	67469	47274
588	67561	47143
589	67655	47014
590	67749	46885
591	67838	46753
592	67930	46623
593	68024	46495
594	68115	46364
595	68205	46233
596	68297	46103
597	68388	45973
598	68477	45841
599	68571	45714
600	68665	45586
601	68757	45457
602	68849	45328
603	68945	45202
604	69038	45074
605	69130	44946
606	69218	44815
607	69309	44686
608	69401	44558
609	69489	44427
610	69581	44300
611	69671	44170
612	69788	44059
613	69907	43948
614	70004	43823
615	70102	43700
616	70198	43575
617	70290	43448
618	70387	43324
619	70481	43198
620	70576	43073
621	70667	42945
622	70755	42816
623	70846	42689
624	70945	42567
625	71040	42442
626	71144	42323
627	71251	42206
628	71351	42085
629	71468	41973
630	71559	41846
631	71652	41721
632	71743	41595
633	71835	41469
634	71928	41345
635	72017	41217
636	72108	41091
637	72205	40969
638	72297	40844
639	72390	40719
640	72481	40593
641	72570	40467
642	72661	40342
643	72763	40223
644	72869	40106
645	72970	39986
646	73064	39863
647	73154	39738
648	73249	39615
649	73342	39492
650	73430	39366
651	73525	39243
652	73615	39119
653	73705	38994
654	73825	38885
655	73959	38783
656	74071	38670
657	74174	38552
658	74174	38552
659	74266	38316
660	74364	38196
661	74456	38073
662	74545	37948
663	74635	37824
664	74716	37696
665	74800	37569
666	74919	37459
667	75254	37458
668	75477	37399
669	75593	37288
670	75696	37170
671	75794	37049
672	75920	36943
673	76022	36825
674	76118	36703
675	76204	36578
676	76290	36452
677	76373	36325
678	76466	36202
679	76549	36076
680	76631	35949
681	76714	35822
682	76798	35696
683	76883	35571
684	76970	35446
685	77054	35321
686	77138	35195
687	77235	35076
688	77319	34951
689	77404	34826
690	77488	34701
691	77575	34577
692	77657	34451
693	77739	34326
694	77822	34201
695	79129	34612
696	80300	34958
697	81485	35306
698	83055	35816
699	84643	36327
700	85866	36677
701	87033	36998
702	87834	37160
703	87930	37023
704	88022	36884
705	88119	36747
706	88210	36608
707	88295	36467
708	88378	36325
709	88464	36184
710	88545	36041
711	88630	35900
712	88712	35759
713	88798	35618
714	88882	35478
715	88964	35336
716	89048	35196
717	89134	35056
718	89218	34916
719	89301	34776
720	89385	34636
721	89468	34496
722	89553	34357
723	89637	34218
724	89719	34078
725	89804	33939
726	89888	33801
727	89973	33662
728	90056	33523
729	90144	33386
730	90230	33249
731	90319	33113
732	90406	32976
733	90498	32841
734	90588	32705
735	90683	32571
736	90768	32435
737	90859	32300
738	90946	32163
739	91034	32028
740	91127	31894
741	91215	31759
742	91302	31623
743	91387	31487
744	91474	31352
745	91559	31216
746	91652	31083
747	91735	30947
748	91822	30812
749	91909	30677
750	91994	30542
751	92078	30406
752	92167	30272
753	92252	30138
754	92338	30003
755	92426	29870
756	92513	29736
757	92603	29603
758	92690	29470
759	92779	29337
760	92865	29203
761	92951	29070
762	93036	28936
763	93121	28802
764	93206	28669
765	93294	28537
766	93380	28404
767	93468	28272
768	93559	28140
769	93647	28009
770	93735	27877
771	93822	27745
772	93912	27614
773	93997	27481
774	94085	27350
775	94173	27219
776	94258	27087
777	94346	26956
778	94435	26825
779	94522	26694
780	94611	26563
781	94700	26433
782	94787	26302
783	94875	26172
784	94966	26043
785	95055	25913
786	95144	25783
787	95233	25653
788	95323	25524
789	95415	25395
790	95504	25266
791	95594	25137
792	95682	25007
793	95770	24878
794	95860	24749
795	95950	24621
796	96038	24492
797	96126	24363
798	96221	24236
799	96309	24107
800	96401	23979
801	96493	23852
802	96584	23724
803	96671	23596
804	96761	23468
805	96849	23340
806	96941	23213
807	97031	23085
808	97122	22958
809	97213	22831
810	97304	22704
811	97396	22577
812	97485	22450
813	97576	22323
814	97664	22196
815	97758	22070
816	97852	21944
817	97941	21818
818	98033	21691
819	98134	21568
820	98224	21441
821	98312	21314
822	98405	21189
823	98501	21064
824	98591	20938
825	98685	20813
826	98775	20687
827	98868	20562
828	98958	20437
829	99048	20311
830	99141	20186
831	99232	20061
832	99323	19936
833	99416	19811
834	99511	19687
835	99607	19563
836	99696	19438
837	99785	19313
838	99880	19189
839	99976	19065
840	100066	18941
841	100159	18817
842	100251	18692
843	100344	18569
844	100437	18445
845	100529	18321
846	100617	18196
847	100709	18072
848	100802	17949
849	100896	17826
850	100988	17702
851	101082	17579
852	101175	17456
853	101277	17334
854	101381	17213
855	101473	17090
856	101569	16967
857	101662	16844
858	101753	16721
859	101848	16599
860	101939	16476
861	102031	16353
862	102128	16231
863	102221	16109
864	102312	15986
865	102407	15864
866	102500	15742
867	102592	15619
868	102683	15497
869	102774	15374
870	102867	15252
871	102960	15130
872	103055	15009
873	103149	14887
874	103245	14766
875	103338	14644
876	103430	14522
877	103523	14401
878	103615	14279
879	103707	14158
880	103800	14036
881	103897	13915
882	103991	13794
883	104083	13673
884	104178	13552
885	104272	13431
886	104366	13310
887	104460	13190
888	104553	13069
889	104647	12948
890	104740	12827
891	104835	12707
892	104931	12587
893	105027	12466
894	105136	12348
895	105236	12228
896	105335	12108
897	105438	11989
898	105541	11870
899	105635	11750
900	105732	11630
901	105825	11510
902	105921	11390
903	106020	11271
904	106114	11151
905	106209	11031
906	106307	10912
907	106401	10792
908	106498	10673
909	106595	10553
910	106699	10435
911	106795	10316
912	106891	10196
913	106988	10077
914	107080	9958
915	107176	9839
916	107272	9720
917	107368	9601
918	107462	9481
919	107554	9362
920	107647	9243
921	107744	9124
922	107842	9006
923	107935	8887
924	108032	8768
925	108131	8650
926	108229	8532
927	108323	8413
928	108419	8295
929	108519	8176
930	108612	8058
931	108708	7940
932	108805	7821
933	108901	7703
934	108998	7585
935	109095	7467
936	109193	7349
937	109288	7231
938	109381	7113
939	109475	6995
940	109570	6877
941	109668	6759
942	109764	6641
943	109859	6524
944	109955	6406
945	110053	6288
946	110148	6171
947	110245	6053
948	110342	5936
949	110440	5818
950	110534	5701
